Vmag,Plx,B-V,SpType,Luminousity Classes,label
7.89,1.93,0.131,B9II,II,1
7.23,3.26,0.967,K0III,III,2
7.95,2.06,1.12,G8II,II,1
6.4,9.93,0.879,G9IV,V,4
9.11,2.22,0.988,K0III,III,2
9.42,9.84,0.605,G0V,V,4
9.5,11.27,0.62,G2V,V,4
8.19,1.72,0.743,F7II,II,1
7.58,1.87,1.494,K3III,III,2
7.14,5.06,0.933,G6III,III,2
6.54,6.94,0.937,G9III,III,2
8.25,3.68,1.027,K0III,III,2
8.66,4.71,0.947,K0III,III,2
8.46,2.56,1.018,K0III,III,2
7.97,3.96,0.17,A5V,V,4
8.29,8.18,1.0,G0III,III,2
7.9,2.71,0.111,A1V,V,4
9.27,2.71,0.392,F2III,III,2
8.87,2.77,1.49,K4III,III,2
8.34,8.87,0.316,F0III,III,2
8.52,3.19,0.13,B9V,V,4
9.3,8.44,0.654,G3V,V,4
8.05,5.72,0.89,G5V,V,4
8.25,1.58,0.123,B9V,V,4
6.27,43.42,0.57,G0V,V,4
6.24,25.3,0.537,F7V,V,4
6.88,1.73,0.204,B7IV,V,4
8.09,3.84,1.564,M1III,III,2
8.98,5.95,0.689,G3V,V,4
7.14,2.67,1.371,K4III,III,2
8.53,2.37,-0.066,B6V,V,4
7.76,2.32,1.135,K1IV,V,4
9.11,2.59,1.123,K0III,III,2
8.91,10.37,0.477,F6V,V,4
4.93,37.44,0.54,F8V,V,4
9.36,9.74,0.67,G1V,V,4
5.46,36.34,0.515,F6V,V,4
6.15,4.48,1.67,M2III,III,2
7.8,13.46,0.463,F5V,V,4
7.36,2.96,1.602,M1III,III,2
6.78,5.9,0.164,A3V,V,4
7.78,3.55,0.027,A0V,V,4
8.37,4.04,0.01,A0V,V,4
8.68,3.57,0.944,G8III,III,2
9.13,2.56,1.212,K2III,III,2
7.93,4.86,1.006,K0III,III,2
5.94,5.67,1.38,K4III,III,2
5.64,5.99,1.578,M1III,III,2
7.26,21.12,0.513,F7V,V,4
8.05,6.31,0.973,G8III,III,2
7.88,7.56,0.14,A3V,V,4
8.06,1.84,1.456,K3V,V,4
6.68,27.54,0.593,G0V,V,4
8.64,3.94,0.305,F2V,V,4
7.95,2.88,0.062,A0III,III,2
9.1,8.53,0.579,G2V,V,4
7.45,6.46,0.262,A5III,III,2
10.27,1.3,1.077,G9III,III,2
3.54,25.23,0.947,G8III,III,2
9.27,8.88,0.6,G1V,V,4
7.8,8.97,0.324,A9V,V,4
7.88,4.77,1.147,K0III,III,2
8.56,14.1,0.62,G1V,V,4
8.14,7.85,0.527,F5V,V,4
7.87,2.43,-0.001,B9V,V,4
8.7,3.01,1.086,G8III,III,2
8.05,8.23,0.239,A4V,V,4
8.33,9.0,0.443,F3V,V,4
9.21,7.06,0.549,G1V,V,4
8.19,14.61,0.527,F6V,V,4
9.34,3.74,1.105,K1III,III,2
6.38,7.68,1.057,K0III,III,2
8.17,23.61,0.726,G5V,V,4
10.26,11.47,0.761,G8V,V,4
6.99,2.66,1.463,K4III,III,2
8.82,5.07,1.085,K0III,III,2
8.11,1.88,1.537,M2III,III,2
7.79,2.05,1.55,M4III,III,2
7.52,0.14,1.271,K1III,III,2
7.42,3.9,1.291,K1III,III,2
5.76,37.65,0.48,F5V,V,4
8.42,-0.3,1.325,K2III,III,2
8.03,3.4,1.08,K0III,III,2
5.96,104.84,0.811,K0V,V,4
9.11,5.47,0.371,F2V,V,4
7.7,8.9,0.41,F2V,V,4
9.05,4.28,1.093,K0III,III,2
8.74,1.63,0.104,B8III,III,2
7.41,2.54,1.26,K2III,III,2
8.94,1.85,-0.019,B9V,V,4
5.95,1.64,-0.156,B4V,V,4
8.94,4.17,0.408,F2IV,V,4
4.62,7.04,-0.077,B9V,V,4
8.9,-0.32,1.167,K0III,III,2
8.84,8.99,0.535,F7V,V,4
10.38,37.32,1.153,K7V,V,4
7.7,1.96,1.561,K4III,III,2
8.6,1.99,0.098,B6III,III,2
7.22,5.12,1.086,K1III,III,2
7.39,4.25,1.069,K0IV,V,4
7.23,7.86,0.401,F3V,V,4
6.91,3.73,1.278,K2III,III,2
6.45,7.1,1.01,G9III,III,2
9.15,11.17,0.611,G0V,V,4
5.63,7.94,1.032,K0III,III,2
5.64,5.0,1.682,M3III,III,2
6.57,18.29,0.363,F2IV,V,4
8.8,1.68,1.189,K1III,III,2
9.81,110.65,1.489,M2V,V,4
8.65,11.37,0.56,F8V,V,4
8.11,7.31,0.173,A5V,V,4
8.72,7.42,0.386,F2V,V,4
6.53,7.67,1.161,K1IV,V,4
8.2,1.58,1.226,K1III,III,2
5.19,13.49,0.974,K0III,III,2
8.26,5.12,0.528,F8V,V,4
8.67,4.04,0.978,G8III,III,2
8.39,10.53,0.56,G0V,V,4
8.6,2.39,1.051,K0III,III,2
8.03,16.69,0.661,G3V,V,4
7.87,7.89,0.5,F5IV,V,4
5.8,13.92,0.248,F0V,V,4
8.0,3.07,0.979,G8III,III,2
8.06,6.33,0.523,F2III,III,2
7.01,4.13,0.199,A7V,V,4
7.08,13.14,0.561,G1V,V,4
8.77,3.4,0.486,F3V,V,4
9.01,-0.41,1.564,K4III,III,2
5.71,9.25,1.02,K0III,III,2
6.81,14.48,0.258,F0V,V,4
7.57,14.16,0.495,F6V,V,4
8.61,4.16,0.916,G8III,III,2
8.89,5.25,0.316,A9V,V,4
6.3,7.54,0.062,A1V,V,4
6.97,6.49,1.423,K4III,III,2
7.94,7.87,1.082,K1III,III,2
10.9,1.09,0.196,A7V,V,4
7.81,5.24,1.068,K1III,III,2
4.3,18.31,0.983,G9III,III,2
6.51,4.4,1.259,K0III,III,2
5.14,14.11,1.105,K1III,III,2
6.32,13.94,0.439,F5V,V,4
8.24,1.76,1.706,M2III,III,2
8.7,10.37,0.445,F3V,V,4
9.39,1.33,0.512,F5V,V,4
7.66,2.62,1.068,K1III,III,2
6.62,9.87,0.518,F5IV,V,4
5.64,23.75,0.362,F1III,III,2
9.57,1.73,0.2,B9V,V,4
8.51,10.0,0.458,F2IV,V,4
9.18,2.62,0.956,G8IV,V,4
8.17,9.89,0.548,F8V,V,4
7.56,15.35,0.481,F6V,V,4
9.24,1.6,0.37,F3IV,V,4
5.46,8.98,1.23,K2III,III,2
6.56,5.67,1.276,M4III,III,2
8.78,13.65,0.5,G0V,V,4
8.12,2.57,1.578,K4III,III,2
8.93,6.74,0.371,F2IV,V,4
5.94,9.38,1.013,K0III,III,2
9.81,12.44,0.743,G6V,V,4
8.8,3.67,-0.041,A0V,V,4
7.61,25.4,0.561,F9V,V,4
7.86,14.25,1.007,K0IV,V,4
9.03,6.25,0.599,G0V,V,4
8.97,3.99,1.018,K0III,III,2
7.42,6.97,0.079,A0V,V,4
8.1,2.04,1.327,K2III,III,2
5.15,10.98,-0.04,B9IV,V,4
6.18,8.74,1.081,K1III,III,2
7.16,3.86,0.27,F0V,V,4
8.89,24.34,0.771,K0V,V,4
7.57,3.51,1.136,K0III,III,2
9.16,5.9,1.143,K2III,III,2
7.28,5.44,0.056,A1V,V,4
6.22,8.73,1.119,G9III,III,2
5.24,6.8,1.499,M4III,III,2
8.72,8.16,0.365,F0V,V,4
6.29,5.14,1.325,K2III,III,2
9.65,5.23,0.499,F6V,V,4
9.31,4.99,0.626,F7V,V,4
8.8,15.76,0.71,G6V,V,4
9.84,2.96,0.174,A2V,V,4
8.69,2.76,0.466,F5III,III,2
7.03,11.15,0.193,A3V,V,4
5.48,37.06,0.52,F7V,V,4
6.29,42.94,0.566,G0V,V,4
8.07,13.08,0.505,F7V,V,4
6.49,5.09,0.154,A5IV,V,4
7.32,2.53,1.621,M1III,III,2
9.3,7.17,0.664,G5IV,V,4
10.13,4.2,1.115,K0III,III,2
8.21,0.68,0.091,B9V,V,4
8.22,50.61,0.98,K5V,V,4
8.52,4.24,0.52,F7V,V,4
7.78,2.09,1.574,M2III,III,2
10.0,31.66,1.213,K7V,V,4
6.97,2.81,-0.023,A0V,V,4
7.87,8.22,0.946,G8IV,V,4
7.61,5.71,0.993,K0III,III,2
7.44,3.58,1.582,K4III,III,2
8.98,7.4,0.87,K0V,V,4
7.78,14.66,0.586,G0V,V,4
6.8,9.63,0.987,K0III,III,2
8.67,15.04,0.601,G3V,V,4
9.16,6.03,0.824,G8IV,V,4
7.82,12.33,0.711,G2V,V,4
9.02,2.11,0.987,K0III,III,2
8.64,4.34,0.151,A1V,V,4
7.48,1.71,1.671,M0III,III,2
8.64,11.12,0.511,F6V,V,4
6.21,5.46,-0.007,A0V,V,4
7.25,6.82,1.029,G8IV,V,4
6.65,7.57,0.966,G8III,III,2
7.24,5.41,0.944,G8III,III,2
7.55,1.93,1.556,M2III,III,2
7.32,4.22,0.048,A0IV,V,4
9.65,6.82,1.161,K2III,III,2
8.13,7.43,0.929,K1V,V,4
4.7,6.59,-0.07,B9V,V,4
8.6,2.16,1.289,K2III,III,2
7.27,3.16,1.3,K1III,III,2
8.2,2.83,0.173,A1V,V,4
8.22,4.7,0.02,B9V,V,4
9.04,7.93,0.479,F5V,V,4
8.07,21.34,0.606,G2V,V,4
8.38,4.41,0.353,F0IV,V,4
7.83,8.89,0.157,A3V,V,4
9.0,2.49,1.227,K1III,III,2
8.84,12.71,0.608,G0V,V,4
8.31,9.49,0.456,F5IV,V,4
5.95,3.06,1.67,M1III,III,2
9.34,4.75,0.969,G6III,III,2
10.17,4.13,0.558,G0V,V,4
5.26,14.04,0.984,K1III,III,2
8.56,2.16,0.061,B8V,V,4
8.55,3.36,0.014,A0V,V,4
7.42,5.33,0.022,A0V,V,4
8.24,14.4,0.455,F5V,V,4
6.32,9.47,1.08,K0III,III,2
7.77,79.91,1.064,K5V,V,4
6.99,4.75,1.135,K0III,III,2
6.78,3.5,1.311,K1III,III,2
7.58,3.86,1.27,K2III,III,2
7.74,5.01,1.014,K0III,III,2
9.01,4.36,-0.4,F3V,V,4
8.4,3.31,0.908,G8III,III,2
5.54,15.58,0.044,A0V,V,4
7.98,6.93,0.14,A3V,V,4
7.08,7.85,0.262,F0V,V,4
9.21,2.28,0.636,F7V,V,4
6.86,30.74,0.59,G0V,V,4
9.23,4.77,0.8,G7V,V,4
6.93,9.54,0.402,F3V,V,4
5.73,24.42,0.44,F4V,V,4
7.88,2.56,1.603,M3III,III,2
8.12,3.12,1.349,K1III,III,2
7.95,4.95,0.123,B9V,V,4
5.2,7.59,1.475,K5III,III,2
7.38,14.26,0.401,F3V,V,4
8.39,4.95,0.574,F8V,V,4
7.97,2.53,0.148,A2IV,V,4
9.28,1.77,1.17,K1III,III,2
7.6,15.69,0.49,F5V,V,4
6.21,13.93,0.949,G8IV,V,4
7.08,20.46,0.498,F6V,V,4
9.0,3.72,1.409,K2III,III,2
9.0,6.2,0.389,F6III,III,2
9.0,11.83,0.71,G5III,III,2
6.48,29.08,0.528,G1V,V,4
9.63,-0.03,0.383,F0V,V,4
8.53,1.61,1.005,G8III,III,2
9.57,1.63,1.04,G7III,III,2
8.19,5.15,0.917,G8III,III,2
8.78,2.76,0.573,F5V,V,4
9.2,7.84,0.744,G5V,V,4
8.88,3.54,1.091,K0III,III,2
5.32,5.07,1.267,K3III,III,2
9.1,1.73,1.047,G9III,III,2
7.44,2.44,1.263,K0IV,V,4
8.44,1.84,1.03,K0III,III,2
8.97,4.09,1.191,K1III,III,2
8.56,11.26,0.456,F5V,V,4
8.45,5.61,1.111,K1III,III,2
7.69,6.02,0.329,F3II,II,1
7.05,5.34,1.596,M0III,III,2
7.99,4.27,1.111,K0III,III,2
5.98,5.45,1.449,K3III,III,2
8.36,2.56,1.127,K1III,III,2
8.49,2.81,1.025,K0III,III,2
8.21,32.79,0.908,K1V,V,4
6.93,5.14,-0.054,B9V,V,4
8.56,2.23,0.246,A6III,III,2
9.02,15.2,0.548,G0V,V,4
6.85,5.13,0.996,K0III,III,2
8.3,17.75,0.825,K0V,V,4
8.59,3.46,0.451,F3V,V,4
9.47,5.31,0.492,F7V,V,4
8.48,2.55,1.043,K0III,III,2
8.43,-0.33,0.071,A1IV,V,4
6.61,5.95,0.084,B9IV,V,4
6.71,4.89,0.974,F8IV,V,4
9.1,3.89,0.289,A9V,V,4
7.4,4.23,0.874,G2V,V,4
7.32,11.44,0.435,F2V,V,4
7.63,11.35,0.503,F5V,V,4
9.14,14.35,0.618,G1V,V,4
8.8,5.27,0.621,F5V,V,4
8.69,5.93,0.51,F5V,V,4
8.72,1.86,1.203,K1III,III,2
8.31,11.93,0.614,G1V,V,4
6.97,30.88,0.552,G0V,V,4
7.94,18.18,0.519,F6V,V,4
10.19,14.33,0.823,K0V,V,4
8.41,11.05,0.54,F6V,V,4
8.25,2.13,0.962,K0III,III,2
7.54,8.34,0.46,F4V,V,4
9.57,3.46,0.397,F2V,V,4
8.2,0.31,1.627,K4III,III,2
8.49,5.79,0.096,A1V,V,4
7.9,4.34,0.046,A2V,V,4
6.02,3.51,1.533,K5III,III,2
8.26,8.96,0.321,A7V,V,4
8.89,9.12,0.645,G0V,V,4
9.23,5.14,1.04,K0III,III,2
7.12,2.79,1.43,K4III,III,2
7.83,3.16,0.944,G5II,II,1
8.48,2.85,1.507,K3III,III,2
9.12,2.28,0.991,G8IV,V,4
7.97,33.03,0.805,K0V,V,4
9.22,3.89,0.89,G8III,III,2
9.11,0.32,1.103,K0III,III,2
7.75,1.93,1.284,K2III,III,2
4.71,9.31,0.958,G8III,III,2
8.7,11.81,0.573,F7V,V,4
7.52,3.75,1.76,K5III,III,2
9.64,4.88,0.515,G3V,V,4
7.47,23.81,0.721,G6V,V,4
7.6,3.76,0.129,A1V,V,4
6.96,2.69,1.385,K1II,II,1
8.04,2.89,1.089,K0III,III,2
9.29,6.33,0.743,G5V,V,4
9.1,0.5,0.062,A0V,V,4
6.26,6.26,1.174,K1III,III,2
8.66,3.06,1.135,K0III,III,2
8.07,6.79,1.334,K3III,III,2
4.84,27.29,0.174,A4V,V,4
9.38,11.68,0.755,G5V,V,4
8.4,4.55,0.327,A1V,V,4
7.0,5.53,1.003,G8III,III,2
7.89,13.71,0.434,F5V,V,4
7.81,11.71,0.539,F7V,V,4
10.56,4.23,0.443,A5V,V,4
8.06,19.17,0.622,G2V,V,4
8.4,11.51,0.64,G0V,V,4
7.99,20.61,0.68,G3V,V,4
8.16,3.65,1.02,K0III,III,2
