Vmag,Plx,B-V,SpType,Luminousity Classes,label
9.65,19.06,0.787,G7IV,V,4
9.45,5.23,1.115,K1IV,V,4
9.39,2.35,0.26,A2V,V,4
7.6,6.01,1.072,K0III,III,2
5.85,31.81,0.554,F8V,V,4
7.35,7.61,0.458,F5V,V,4
7.19,3.29,0.03,B4V,V,4
8.38,4.28,0.993,K0III,III,2
4.89,9.64,-0.123,B4V,V,4
8.97,20.16,0.977,K0V,V,4
8.41,10.88,0.594,G5V,V,4
6.99,2.93,-0.1,B5V,V,4
9.32,2.5,1.06,K0III,III,2
8.26,3.44,0.944,G8III,III,2
5.56,9.57,0.069,B4III,III,2
8.87,6.06,0.479,F5IV,V,4
8.61,3.64,1.08,K0III,III,2
7.42,7.18,0.294,A9V,V,4
7.08,1.58,1.298,K1III,III,2
8.18,8.52,0.47,F3V,V,4
